code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Národ Sobě;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
;Babice nad Svitavou;925;660;660;129;0;2;0;1;31;69;0;0;109;2;3;0;0;1;3;53;1;10;7;58;39;93;43;0;1
;Babice u Rosic;553;353;353;93;0;0;0;1;30;25;0;2;32;4;1;1;0;1;1;27;0;6;5;49;13;37;18;5;0
;Běleč;160;131;131;30;0;0;0;0;14;14;0;0;13;0;1;0;1;0;0;8;0;0;0;12;1;11;25;0;0
;Bílovice nad Svitavou;2676;2018;2017;432;2;2;2;1;78;186;0;0;316;16;6;0;2;0;6;257;1;44;28;170;147;205;103;0;0
;Biskoupky;145;86;86;22;0;0;0;2;17;4;0;0;6;0;0;0;0;0;0;1;1;1;1;7;7;5;11;0;0
;Blažovice;924;725;725;133;3;0;0;0;44;193;0;1;64;2;2;0;1;0;1;49;0;7;12;70;34;53;54;1;0
;Blučina;1749;1099;1098;326;0;0;5;2;52;100;1;1;126;8;11;2;0;7;1;42;2;20;15;174;23;108;62;1;2
;Borač;289;219;219;52;0;0;0;0;15;21;0;0;24;0;0;0;0;0;0;18;2;0;6;30;13;16;21;0;0
;Borovník;81;61;61;23;0;0;0;0;0;16;0;0;4;0;0;0;0;0;0;4;0;2;1;0;2;4;5;0;0
;Braníškov;147;96;96;21;1;0;0;0;5;11;0;0;17;0;0;0;0;0;0;11;0;2;1;17;2;4;4;0;0
;Branišovice;482;302;302;104;0;0;1;0;18;19;0;0;23;0;0;0;0;1;1;4;0;5;2;20;69;19;15;0;0
;Bratčice;542;367;367;119;1;0;0;2;25;20;0;0;37;4;0;0;0;1;2;17;0;4;2;59;17;20;37;0;0
;Brumov;195;135;135;32;0;0;0;0;20;29;0;0;7;1;0;0;0;3;1;3;0;2;1;17;0;7;12;0;0
;Březina;734;537;537;109;0;0;0;1;34;32;0;0;60;4;0;0;1;1;0;118;0;7;4;49;31;45;41;0;0
;Březina;272;194;194;69;0;0;0;0;16;6;0;0;26;0;0;0;1;1;1;12;0;2;6;17;8;18;9;1;0
;Bukovice;57;41;41;8;0;0;0;0;5;3;0;0;2;0;0;0;0;0;0;3;0;1;3;0;0;7;8;0;0
;Cvrčovice;514;331;331;131;0;0;0;1;36;19;0;0;14;0;3;0;2;1;1;18;0;6;4;44;8;28;15;0;0
;Čebín;1408;907;907;215;2;0;1;3;68;102;0;1;97;8;5;0;1;6;6;42;0;19;15;154;27;73;54;0;1
;Černvír;125;93;93;23;0;0;0;0;9;7;0;0;15;0;0;0;0;1;0;6;0;0;0;11;6;5;9;0;0
;Česká;790;615;614;169;0;0;0;0;24;64;0;1;138;7;0;3;0;4;1;26;3;12;8;33;47;54;18;0;0
;Čučice;350;223;223;86;0;0;0;1;41;14;1;0;16;0;0;0;0;2;0;7;0;5;4;25;3;12;5;0;0
;Deblín;841;510;510;130;0;1;0;0;74;68;1;1;39;2;3;0;0;2;2;7;0;11;5;52;24;39;46;1;0
;Dolní Kounice;1962;1182;1182;343;0;1;2;1;97;64;1;1;136;10;8;0;1;6;1;40;3;23;16;185;38;99;92;1;3
;Dolní Loučky;1042;698;697;207;3;1;0;3;66;75;1;1;74;3;3;1;0;0;0;36;4;13;10;59;22;36;71;0;2
;Domašov;499;342;342;100;0;0;1;0;18;41;1;2;41;3;1;0;0;3;1;6;2;3;7;36;15;37;22;0;1
;Doubravník;694;470;470;93;0;3;0;1;43;73;0;1;61;5;3;1;1;0;0;11;3;7;6;62;8;34;54;0;0
;Drahonín;92;72;72;19;0;0;0;0;9;3;0;0;7;0;0;1;1;0;0;5;0;0;1;7;0;10;8;0;1
;Drásov;1327;882;882;241;0;0;1;1;52;54;0;0;140;6;7;0;1;1;5;33;2;17;5;107;57;82;64;1;1
;Hajany;365;260;260;84;1;0;0;1;17;10;0;0;27;5;6;0;0;1;2;4;0;7;3;30;16;9;37;0;0
;Heroltice;188;121;121;44;0;0;2;0;11;3;0;0;12;1;1;1;0;0;2;7;1;5;2;13;2;9;5;0;0
;Hlína;225;153;153;34;0;0;0;0;15;18;0;0;13;1;0;0;0;0;0;0;2;4;3;20;5;11;27;0;0
